File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels2,Date Modified,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:16:13,24.000,48000,2,1920 x 1080,Cineform HD,00:13:15:21,00:13:32:10,19101,19497,397,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:07,24.000,48000,2,1920 x 1080,Cineform HD,00:13:32:10,00:13:36:17,19498,19600,103,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:10:12,24.000,48000,2,1920 x 1080,Cineform HD,00:13:36:17,00:13:47:05,19601,19852,252,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:07:01,24.000,48000,2,1920 x 1080,Cineform HD,00:13:47:05,00:13:54:06,19853,20021,169,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:17:06,24.000,48000,2,1920 x 1080,Cineform HD,00:13:54:06,00:14:11:12,20022,20435,414,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:08:10,24.000,48000,2,1920 x 1080,Cineform HD,00:14:11:12,00:14:19:22,20436,20637,202,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:23:09,24.000,48000,2,1920 x 1080,Cineform HD,00:14:19:22,00:14:43:07,20638,21198,561,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:49:09,24.000,48000,2,1920 x 1080,Cineform HD,00:14:43:07,00:15:32:16,21199,22383,1185,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:19:16,24.000,48000,2,1920 x 1080,Cineform HD,00:15:32:16,00:15:52:08,22384,22855,472,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:15:18,24.000,48000,2,1920 x 1080,Cineform HD,00:15:52:08,00:16:08:02,22856,23233,378,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:02:18,24.000,48000,2,1920 x 1080,Cineform HD,00:16:08:02,00:16:10:20,23234,23299,66,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:13,24.000,48000,2,1920 x 1080,Cineform HD,00:16:10:20,00:16:15:09,23300,23408,109,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:17:09,24.000,48000,2,1920 x 1080,Cineform HD,00:16:15:09,00:16:32:18,23409,23825,417,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:11:21,24.000,48000,2,1920 x 1080,Cineform HD,00:16:32:18,00:16:44:15,23826,24110,285,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:07:23,24.000,48000,2,1920 x 1080,Cineform HD,00:16:44:15,00:16:52:14,24111,24301,191,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:05,24.000,48000,2,1920 x 1080,Cineform HD,00:16:52:14,00:16:56:19,24302,24402,101,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:10,24.000,48000,2,1920 x 1080,Cineform HD,00:16:56:19,00:17:00:05,24403,24484,82,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
