File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels,Date Modified
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:04,23.976,48000,2,1920 x 1080,Cineform HD,00:15:34:21,00:15:39:01,22437,22536,100,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:19,23.976,48000,2,1920 x 1080,Cineform HD,00:15:39:01,00:15:41:20,22537,22603,67,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:17,23.976,48000,2,1920 x 1080,Cineform HD,00:15:41:20,00:15:43:13,22604,22644,41,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:08,23.976,48000,2,1920 x 1080,Cineform HD,00:15:43:13,00:15:47:21,22645,22748,104,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:08:06,23.976,48000,2,1920 x 1080,Cineform HD,00:15:47:21,00:15:56:03,22749,22946,198,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:06,23.976,48000,2,1920 x 1080,Cineform HD,00:15:56:03,00:15:58:09,22947,23000,54,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:15:06,23.976,48000,2,1920 x 1080,Cineform HD,00:15:58:09,00:16:13:15,23001,23366,366,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:14:22,23.976,48000,2,1920 x 1080,Cineform HD,00:16:13:15,00:16:28:13,23367,23724,358,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:10:09,23.976,48000,2,1920 x 1080,Cineform HD,00:16:28:13,00:16:38:22,23725,23973,249,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:13,23.976,48000,2,1920 x 1080,Cineform HD,00:16:38:22,00:16:42:11,23974,24058,85,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:05:11,23.976,48000,2,1920 x 1080,Cineform HD,00:16:42:11,00:16:47:22,24059,24189,131,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:19,23.976,48000,2,1920 x 1080,Cineform HD,00:16:47:22,00:16:50:17,24190,24256,67,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:06:08,23.976,48000,2,1920 x 1080,Cineform HD,00:16:50:17,00:16:57:01,24257,24408,152,10,16,Auto,2,Fri Jul 20 23:08:27 2018
